Sample	Cell	Live_Perc	GFP_Perc	GFP_p25	GFP_p50	GFP_p75	dpi	Virus	Variant	Experiment
K562_SN_CBX_8_C4_C04.fcs	45141	99.7	25	1318	2347	4301	8	SNV	CBX	E4
K562_SN_CBX_10_C4_C04.fcs	47525	99.4	26.9	1312	2276	4039	10	SNV	CBX	E4
K562_SN_CBX_12_C4_C04.fcs	47706	99.8	27	1308	2378	4268	12	SNV	CBX	E4
K562_SN_W390A_2_B4_B04.fcs	48266	97.6	4.27	986	2365	4569	2	SNV	W390A	E4
K562_SN_W390A_3_B4_B04.fcs	50366	99.5	3.81	1279	2595	4704	3	SNV	W390A	E4
K562_SN_W390A_4_B4_B04.fcs	41107	75.8	3.68	1224	2299	3914	4	SNV	W390A	E4
K562_SN_W390A_5_B4_B04.fcs	39331	80.1	3.57	1120	2270	4301	5	SNV	W390A	E4
K562_SN_W390A_6_B4_B04.fcs	50709	99.7	3.65	1128	2347	4486	6	SNV	W390A	E4
K562_SN_W390A_8_B4_B04.fcs	44977	99.7	3.72	1567	3063	5540	8	SNV	W390A	E4
K562_SN_W390A_10_B4_B04.fcs	47424	99.6	3.57	1289	2642	4932	10	SNV	W390A	E4
K562_SN_W390A_12_B4_B04.fcs	47468	99.8	3.43	1321	2629	4791	12	SNV	W390A	E4
K562_SN_wt_2_A4_A04.fcs	48799	98.3	4.09	664	2196	4741	2	SNV	wt	E4
K562_SN_wt_3_A4_A04.fcs	51131	99.7	3.07	1528	3143	5658	3	SNV	wt	E4
K562_SN_wt_4_A4_A04.fcs	40966	74.7	2.9	1471	2790	4716	4	SNV	wt	E4
K562_SN_wt_5_A4_A04.fcs	40143	81.6	2.97	1516	2915	4945	5	SNV	wt	E4
K562_SN_wt_6_A4_A04.fcs	50870	99.7	2.92	1417	2812	5467	6	SNV	wt	E4
