cell	virus	volume	dpi	cell_count	gfp_perc	MFI	MedFI	ID	GFP_rPerc
K562	KoRV	50	7	9011	0.83	1660	924	KoRV_50	0.892
K562	KoRV	100	7	8910	3.2	1798	1487	KoRV_100	1.135
K562	KoRV	200	7	8925	11	1702	1202	KoRV_200	1.146
K562	MoMLV	50	7	8960	1.05	4445	3299	MoMLV_50	0.921
K562	MoMLV	100	7	8869	4.42	4637	3747	MoMLV_100	1.002
K562	MoMLV	200	7	9045	14	5319	4133	MoMLV_200	1
K562	SFFV	50	7	9073	1.03	7214	5590	SFFV_50	1.392
K562	SFFV	100	7	8970	2.64	7081	5772	SFFV_100	0.94
K562	SFFV	200	7	8787	9.16	7718	6369	SFFV_200	1.047
K562	SNV	50	7	8956	1.59	3261	1851	SNV_50	1.12
K562	SNV	100	7	8977	3.82	2918	1661	SNV_100	0.96
K562	SNV	200	7	8944	13.2	2956	1776	SNV_200	0.936
K562	NA	0	7	8946	0.011	212	212	NA_0	0.5
